"serialNumber (S)","unixTimeStamp (N)","deviceLat (N)","deviceLon (N)","deviceMos (N)","deviceTemp (N)"
"SN-7229","1604042724378","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042724376","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042719208","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042719185","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042714084","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042714069","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042708956","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042708946","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042703788","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042703784","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042698719","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042698642","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042694062","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604042694058","-31.9663","115.8892","12.76","27.67"
"SN-7229","1604021077030","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021077015","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021071842","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021071826","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021066731","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021066721","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021061581","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021061576","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021056504","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021056418","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021051310","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021051309","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021046772","-31.9663","115.8892","13.55","20.69"
"SN-7229","1604021046737","-31.9663","115.8892","13.55","20.69"
"SN-7229","1603999429201","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999429198","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999424064","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999424059","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999418926","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999418912","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999414057","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999413989","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999408653","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999408638","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999403531","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999403517","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999398928","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603999398925","-31.9663","115.8892","9.86","21.47"
"SN-7229","1603977781442","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977781427","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977776484","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977776468","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977771183","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977771174","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977766153","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977766140","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977761082","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977760970","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977755914","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977755902","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603977751282","-31.9663","115.8892","10.07","24.16"
"SN-7229","1603956134190","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956134185","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956129223","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956129201","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956123833","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956123823","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956118757","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956118722","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956113598","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956113556","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956108422","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956108419","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956103826","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603956103804","-31.9663","115.8892","10.6","27.47"
"SN-7229","1603934486497","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934486472","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934481283","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934476277","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934476261","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934471101","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934471030","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934465851","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934465817","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934460795","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934460723","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934456202","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603934456165","-31.9663","115.8892","10.81","20.56"
"SN-7229","1603912838620","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912833520","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912833501","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912828337","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912828312","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912823219","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912823184","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912817984","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912817980","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912812932","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912812905","-31.9663","115.8892","11.04","20.48"
"SN-7229","1603912808336","-31.9663","115.8892","11.04","20.48"
